Total of paths: 1236
Noise: 282
Classified: 952
Number of clusters: 5

Cluster 1 consists of the following 935 point :

 -32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32988,129,-32422,159,-31619,179,-30711,127,-29733,51,-28736,77,-27667,140,-26694,162,-25687,226,-24709,245,-23728,206,-22827,216,-23065,206,-23739,196,-24609,207,-25519,135,-25866,135,-26006,134,-26628,291,-27518,435,-28462,666,-28838,762,-28988,801,-29634,921,-30496,1035,-31441,1196,-32498,1333,-32932,1381,-33099,1405,-33739,1236,-34007,1159,-34318,1000,-34432,937,-34477,915,-34494,905,-34501,900,-34504,899,-34505,898,-34506,898,-34506,898,-34710,377,-35011,-398,-35321,-1189,-35647,-1949,-35755,-2260,-35805,-2373,-35827,-2419,-35837,-2436,-35840,-2443,-35841,-2446,-35841,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448,-35842,-2448 ;
 -6000,0,-6000,0,-6064,73,-6064,73,-6064,73,-6416,-45,-6552,-103,-7162,-186,-7949,-275,-8276,-298,-8412,-313,-8733,-402,-8370,-286,-7699,-110,-7101,-260,-6856,-342,-6743,-374,-6695,-390,-6675,-396,-6667,-399,-7198,-522,-7669,-602,-7353,-514,-7220,-477,-7690,-445,-8444,-364,-9318,-251,-10228,-202,-11121,-183,-12028,-158,-13004,-73,-13945,-73,-14891,-22,-15836,57,-16769,141,-17728,221,-18726,358,-19144,415,-19320,434,-19628,726,-19968,1184,-20314,1721,-20683,2278,-20883,2541,-20967,2645,-21176,2137,-21332,1728,-21397,1556,-21428,1487,-21554,1228,-21775,766,-22090,215,-22198,-8,-22252,-513,-22260,-863,-22265,-1017,-22271,-1286,-22277,-1400,-22279,-1448,-22281,-1468,-22282,-1476,-22283,-1479,-22049,-1799,-21739,-2204,-21376,-2682,-21004,-3187,-20642,-3762,-20483,-4024,-20410,-4133,-20381,-4175,-20369,-4193,-20364,-4201,-20362,-4204,-20361,-4206,-20361,-4206,-20361,-4207,-20361,-4207,-20361,-4207,-20361,-4207,-20361,-4207,-20361,-4207,-20361,-4207,-20361,-4207,-20145,-4499,-20058,-4620,-19488,-4769,-18736,-4989,-18437,-5067,-18198,-5651,-18100,-5897,-18059,-6000,-17651,-5959,-17143,-5809,-16511,-5622,-15874,-5448,-15238,-5307,-14609,-5155,-13934,-5012,-13318,-4889,-13045,-4833,-12781,-4292,-12680,-4069,-12065,-3919,-11228,-3781,-10875,-3722,-10428,-3215,-10040,-2545,-9692,-1758,-9295,-905,-8948,-166,-8589,630,-8456,967,-8173,1404,-8062,1587,-7634,1779,-7051,2012,-6442,2245,-5819,2477,-5200,2716,-4564,2999,-3952,3267 ;
 -13000,19000,-13000,19000,-13345,19139,-13753,19103,-13944,19098,-14306,18832,-14738,18448,-14935,18254,-15091,18088,-15159,18017,-15410,17779,-15520,17674,-15344,17181,-15246,16969,-15540,16920,-15945,16940,-16238,16963,-16372,16969,-16603,17004,-16972,17053,-17143,17080,-17222,17095,-17509,17180,-17643,17212,-17700,17227,-18018,17025,-18164,16930,-18396,16467,-18496,16247,-18875,16080,-19464,15930,-20067,15824,-20563,15732,-20869,15675,-21006,15649,-21069,15634,-20708,15894,-20550,16021,-20478,16078,-20636,15638,-20841,14973,-21123,14210,-21434,13813,-21779,13157,-22120,12424,-22260,12082,-22308,11920,-22332,11849,-22343,11816,-22348,11800,-22350,11792,-22380,12219,-22388,12411,-22399,12498,-22500,12938,-22615,13526,-22674,13808,-22435,14176,-22056,14605,-21881,14801,-21948,15234,-21982,15420,-22000,15503,-21822,15242,-21539,14805,-21406,14607,-21347,14515,-21319,14473,-21308,14453,-21303,14443,-21301,14439,-21300,14437,-21299,14436,-21299,14435,-21299,14435,-21299,14435,-21299,14435,-21299,14435,-21299,14435,-21299,14435,-21162,13956,-21101,13741,-21078,13648,-20889,13130,-20712,12443,-20449,11634,-20127,10782,-19802,9904,-19667,9473,-19593,9274,-19160,9200,-18625,9188,-17979,9238,-17326,9320,-16595,9399,-15922,9493,-15246,9570,-14558,9660,-13871,9768,-13561,9798,-13055,9434,-12522,8850,-11886,8227,-11561,7923,-11036,7745,-10424,7634,-10157,7587,-9669,7853,-9122,8260,-8460,8692,-7746,9233,-7101,9788,-6455,10274,-6130,10512,-5977,10627,-5906,10682,-5874,10703,-5857,10712,-5849,10717,-5846,10718,-5844,10719 ;
 -3000,-5000,-3000,-5000,-3256,-5434,-3660,-6035,-4040,-6678,-4420,-7394,-4769,-8053,-5109,-8585,-5245,-8805,-5305,-8904,-5333,-8950,-5395,-9345,-5501,-10000,-5547,-10302,-5911,-10231,-6442,-9982,-6672,-9891,-7048,-9864,-7542,-9856,-7760,-9866,-7576,-10293,-7264,-10926,-7137,-11201,-7076,-11314,-7350,-11626,-7624,-11889,-7731,-12007,-7865,-11671,-7926,-11515,-7954,-11444,-7967,-11409,-8334,-11181,-8946,-10837,-9652,-10418,-10312,-9945,-10612,-9714,-11212,-9474,-11477,-9369,-11596,-9322,-11265,-9010,-10767,-8644,-10210,-8282,-9958,-8120,-9836,-8054,-10188,-7797,-10726,-7452,-10974,-7291,-11092,-7222,-10741,-7141,-10130,-7062,-9831,-7025,-9496,-6580,-9327,-6326,-9253,-6213,-9217,-6167,-8841,-5848,-8678,-5699,-8612,-5627,-8583,-5604,-8584,-5606,-8585,-5606,-8585,-5606,-8503,-6037,-8393,-6622,-8196,-7305,-8013,-7996,-7928,-8305,-7683,-8811,-7333,-9432,-6931,-10047,-6583,-10744,-6433,-11049,-6130,-11553,-5913,-11926,-5857,-11851,-5579,-12159,-5305,-12442,-5315,-12428,-5229,-12831,-5083,-13467,-5021,-13750,-4732,-14241,-4471,-14686,-4131,-15212,-3753,-15766,-3346,-16374,-2883,-17016,-2681,-17325,-2600,-17455,-2557,-17512,-2446,-17116,-2330,-16531,-2213,-15862,-2160,-15560,-2127,-15423,-2115,-15360,-2110,-15332,-2108,-15319,-2107,-15314,-2107,-15311,-2588,-15382,-3266,-15513,-4047,-15662,-4858,-15831,-5723,-15940,-6606,-16018,-7039,-16056,-7231,-16081,-7313,-16094,-7350,-16100,-7257,-15937,-7220,-15859,-6898,-15764,-6753,-15724,-6225,-15554,-5529,-15275,-4761,-15041,-4357,-14958,-4128,-15117,-3585,-15025,-3354,-14970 ;
 -2200,5058,-2200,5058,-2717,5052,-3421,5043,-3733,5038,-3878,5032,-3943,5034,-3973,5034,-3622,5359,-3458,5507,-3385,5570,-3351,5139,-3334,4947,-3153,4402,-3083,4146,-2926,3736,-2857,3553,-3333,3548,-3529,3552,-3165,3340,-3005,3249,-2935,3209,-2904,3191,-2891,3184,-3283,3313,-3808,3505,-4437,3717,-5110,3948,-5733,4170,-6007,4268,-6534,4572,-6954,4835,-7138,4938,-7400,5353,-7717,6031,-7873,6315,-8455,6454,-9220,6503,-9569,6548,-9938,6967,-10311,7502,-10672,8094,-10832,8348,-11329,8784,-11544,8998,-12130,9223,-12692,9172,-13358,9316,-14123,9551,-14894,9869,-15257,10019,-15417,10079,-15162,9745,-15058,9597,-14857,9171,-14629,8600,-14263,7866,-13878,7032,-13496,6260,-13112,5475,-12715,4779,-12570,4487,-12193,4064,-11714,3582,-11200,3032,-10695,2481,-10169,1871,-9687,1256,-9204,675,-8749,60,-8225,-476,-7746,-1049,-7235,-1602,-6680,-2144,-6137,-2714,-5640,-3258,-5129,-3842,-4896,-4106,-4781,-4231,-4596,-4680,-4499,-4884,-4148,-5310,-3703,-5799,-3248,-6333,-2716,-6903,-2198,-7449,-1820,-7599,-1371,-7670,-1173,-7718,-1089,-7737,-647,-7695,-98,-7610,547,-7497,1261,-7427,1950,-7314,2630,-7207,2933,-7160,3074,-7137,3133,-7130,3159,-7126,3172,-7125,3177,-7125,3180,-7124,3181,-7124,3181,-7124,3181,-7124,3182,-7124,3182,-7124,3529,-7344,4030,-7661,4262,-7807,4366,-7869,4415,-7895,4437,-7905,4447,-7911,4452,-7914,4454,-7915,4455,-7916,4455,-7916,4456,-7916,4456,-7916 ;
