Total of paths: 1236
Noise: 765
Classified: 469
Number of clusters: 22

Cluster 1 consists of the following 86 point :

 -47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47119,-4856,-47720,-5039,-48604,-5264,-48964,-5356,-49299,-5588,-49436,-5678,-48888,-5736,-48665,-5765,-48575,-5781,-48159,-5908,-47776,-5852,-47622,-5830,-47562,-5822,-47612,-5660,-47630,-5598,-47636,-5572,-47639,-5560,-47641,-5556,-47400,-6059,-47304,-6260,-47265,-6341,-47251,-6375,-47246,-6388,-47244,-6393,-47243,-6395,-47243,-6396,-47719,-5981,-47912,-5816,-47990,-5751,-48020,-5725,-48033,-5714,-48037,-5709,-48039,-5707,-48040,-5706,-48040,-5705,-48040,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-48041,-5705,-47603,-6071,-47420,-6219,-47354,-6281,-47327,-6308,-47315,-6319,-47311,-6324,-46823,-6680,-46165,-7166,-45436,-7741,-45143,-7968,-45023,-8045,-44972,-8077,-44465,-8488,-43827,-9073,-43151,-9785,-42421,-10479,-41673,-11146,-40936,-11868,-40222,-12580,-39468,-13249,-39135,-13539,-38522,-14073,-37764,-14634,-37040,-15224,-36770,-15481,-36661,-15587,-36613,-15628,-36593,-15644,-36172,-15225,-35592,-14629,-34980,-13919,-34266,-13134,-33501,-12345,-32790,-11577,-32502,-11236,-32381,-11110,-31875,-10632,-31283,-10070,-31053,-9871,-30951,-9792,-30914,-9761,-30900,-9749,-30894,-9743,-30892,-9741,-30891,-9740,-30891,-9740,-30890,-9740,-30890,-9740,-30890,-9740,-30890,-9740,-30890,-9740,-30890,-9740,-30890,-9740,-30890,-9740,-30407,-9293,-29792,-8665,-29046,-7981,-28297,-7270 ;
 -30031,-9440,-30031,-9440,-30031,-9440,-30031,-9440,-30031,-9440,-30031,-9440,-29454,-9600,-29203,-9667,-29105,-9702,-29070,-9716,-29057,-9721,-29051,-9723,-29049,-9723,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-29048,-9724,-28497,-9942,-27658,-10190,-27314,-10300,-27188,-10338,-27133,-10354,-27111,-10360,-27102,-10363,-27098,-10364,-27097,-10364,-27096,-10364,-27096,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-27095,-10364,-26810,-9835,-26388,-9062,-26227,-8745,-26159,-8628,-25789,-8069,-25640,-7836,-25577,-7738,-25553,-7701,-25543,-7685,-25539,-7679,-25537,-7677,-25537,-7676 ;
 -48420,-4454,-47858,-3829,-47237,-3119,-47004,-2824,-46901,-2697,-46415,-2166,-46222,-1958,-45782,-1429,-45602,-1212,-45534,-1119,-45507,-1083,-45497,-1068,-45493,-1061,-45492,-1059,-45311,-1217,-45235,-1288,-45205,-1317,-45192,-1329,-45187,-1334,-45185,-1336,-45184,-1337,-45184,-1337,-45184,-1338,-45115,-1962,-44977,-2803,-44851,-3724,-44799,-4096,-44774,-4239,-44768,-4296,-44768,-4319,-44767,-4329,-44766,-4333,-44766,-4335,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44766,-4336,-44399,-4558,-44255,-4649,-43576,-4859,-42736,-5049,-41866,-5270,-41514,-5373,-41374,-5412,-41312,-5426,-41288,-5432,-40693,-5575,-40455,-5632,-40359,-5655,-40322,-5665,-40308,-5669,-40303,-5670,-39737,-5796,-39510,-5847,-39419,-5872,-38754,-6006,-38465,-6051,-38347,-6064,-38298,-6065,-38278,-6065,-38271,-6065,-38268,-6066,-38267,-6066,-38266,-6066,-37681,-6244,-36893,-6421,-36589,-6480 ;
 -20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582,-20673,-1582 ;
 -35639,-42,-34622,-21,-34248,-36,-34091,-49,-34028,-54,-34003,-56,-33993,-58,-33988,-59,-33987,-59,-33986,-59,-34583,-60,-34809,-41,-34893,-31,-34926,-27,-34940,-26,-34946,-24,-34948,-24,-34949,-24,-35500,-6,-35706,5,-35793,12,-35825,13,-35838,14,-35843,15,-36362,-162,-37117,-434,-38048,-775,-38989,-1100,-39936,-1422,-40832,-1773,-41205,-1941,-41362,-2012,-40836,-2121,-40613,-2160,-40526,-2170,-40490,-2178,-40476,-2181,-40470,-2181,-40468,-2182,-40467,-2182,-40466,-2182,-40466,-2182,-40466,-2182,-39915,-2273,-39684,-2297,-39592,-2299,-39556,-2299,-39542,-2300,-39537,-2300,-39535,-2300,-39534,-2300,-39534,-2300,-39534,-2300,-39533,-2300,-38952,-2425,-38734,-2466,-38649,-2483,-38616,-2489,-38604,-2491,-38599,-2492,-38597,-2492,-38596,-2492,-38596,-2492,-38596,-2492,-38596,-2492,-38008,-2580,-37792,-2602,-37706,-2612,-37672,-2618,-37660,-2621,-37655,-2622,-37653,-2622,-37652,-2622,-37652,-2622,-37033,-2655,-36147,-2709,-35220,-2778,-34254,-2878,-33862,-2911,-33704,-2926,-33059,-2952,-32790,-2946,-32683,-2944,-32082,-3021,-31848,-3067,-31754,-3077,-31718,-3084,-31703,-3087,-31697,-3088,-31695,-3089,-31694,-3089,-31693,-3089,-31693,-3089,-31693,-3089,-31693,-3089,-31693,-3089,-31693,-3089,-31693,-3089,-31109,-3170,-30270,-3211,-29351,-3334,-28987,-3385,-28845,-3415,-28788,-3428,-28766,-3431,-28756,-3432,-28753,-3433,-28751,-3433,-28751,-3433,-28750,-3433,-28750,-3433,-28750,-3433,-28750,-3433,-28750,-3433,-28750,-3433,-28750,-3433,-28750,-3433 ;
 -31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31857,-9828,-31287,-9990,-30563,-10245,-29646,-10596,-29293,-10752,-29153,-10815,-29101,-10845,-28512,-11055,-28286,-11142 ;
 -30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30226,-11216,-30349,-10976,-30509,-10660,-30857,-9992,-31257,-9111,-31386,-8739,-31428,-8597,-31444,-8539,-31448,-8515,-31450,-8505,-31451,-8501,-31452,-8500,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31452,-8499,-31742,-7998,-31876,-7805,-31933,-7723,-31957,-7689,-31966,-7676,-32095,-7436,-32153,-7347,-32179,-7311,-31908,-6803,-31466,-6100,-30980,-5317,-30777,-5029,-30706,-4921,-30679,-4873,-30669,-4854,-30665,-4846,-30663,-4843,-30662,-4841,-30662,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841,-30661,-4841 ;
 -31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-31137,868,-30575,713,-29781,549,-28906,420,-27955,231,-27576,123,-26842,-46,-26539,-111,-26420,-137,-26373,-148,-26354,-153,-26346,-154,-26343,-155,-25761,-263,-25535,-285,-25439,-300,-25399,-304,-25384,-305,-25378,-305,-25376,-305,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306,-25375,-306 ;
 -24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860,-24636,-6860 ;
 -45110,-2993,-45110,-2993,-44534,-2942,-43689,-2854,-42827,-2831,-41875,-2791,-40890,-2671,-39822,-2558,-38876,-2512,-37895,-2468,-36975,-2465,-36020,-2436,-35068,-2386,-34129,-2304 ;
 -44157,2087,-44234,1439,-44324,593,-44345,263,-44354,136,-44380,-515,-44453,-1431,-44553,-2327,-44564,-3258,-44578,-3627,-44584,-3765,-44586,-3821,-44587,-3843,-44587,-3851,-44588,-3855,-44588,-3856,-44588,-3856,-44588,-3857,-44588,-3857,-44588,-3857,-44588,-3857,-44588,-3857,-44588,-3857,-44588,-3857,-44588,-3857,-44588,-3857,-44588,-3857,-44588,-3857,-44588,-3857,-44588,-3857,-44619,-4425,-44683,-5277,-44464,-5931,-44474,-6771,-44191,-7493,-43822,-8111,-43456,-8364,-43006,-8796,-42818,-8956,-42745,-9023,-42716,-9049,-42704,-9058,-42699,-9062,-42697,-9064,-42697,-9064,-42696,-9064,-42696,-9064,-42696,-9065,-42696,-9065,-42696,-9065,-42696,-9065,-42696,-9065,-42696,-9065,-42696,-9065,-42696,-9065,-42696,-9065,-42696,-9065,-42696,-9065,-42696,-9065,-42696,-9065,-42137,-9133,-41279,-9233,-40927,-9261,-40785,-9271,-40728,-9272,-40130,-9370,-39341,-9467,-38381,-9636,-37474,-9813,-36546,-9976,-35551,-10166,-34525,-10425,-33438,-10652,-32412,-10834,-31977,-10923,-31801,-10951,-31733,-10964,-31707,-10969,-31697,-10972,-31693,-10973,-31692,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31691,-10974,-31070,-11110,-30209,-11277,-29319,-11383,-28997,-11427,-28869,-11446,-28823,-11452,-28804,-11454,-28797,-11455,-28794,-11455,-28189,-11537,-27369,-11663,-26426,-11735,-26066,-11780,-25916,-11796,-25854,-11799,-25829,-11802,-25818,-11803,-25814,-11803,-25812,-11803,-25811,-11804,-25811,-11804,-25263,-11880,-25043,-11912,-24954,-11925,-24920,-11931,-24907,-11933,-24902,-11935,-24899,-11935,-24899,-11935,-24898,-11936,-24898,-11936,-24898,-11936,-24898,-11936,-24898,-11936,-24898,-11936,-24898,-11936,-24898,-11936,-24898,-11936,-24898,-11936,-24333,-12029,-24109,-12068,-24023,-12084,-23989,-12087,-23976,-12088,-23971,-12088,-23969,-12088 ;
 -23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536,-23232,-4536 ;
 -31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-31255,-12821,-30849,-12450,-30257,-11884,-29587,-11236,-29323,-11006,-28760,-10496 ;
 -48198,-2257,-48194,-2264,-48193,-2267,-48192,-2268,-48192,-2268,-48192,-2268,-48192,-2268,-48192,-2268,-47976,-2809,-47888,-3028,-47857,-3116,-47844,-3155,-47584,-3707,-47497,-3933,-47280,-4560,-47169,-4805,-47124,-4903,-47104,-4940,-47095,-4953,-47092,-4958,-47091,-4960,-47090,-4961,-47090,-4961,-47090,-4961,-46838,-5557,-46502,-6331,-46376,-6638,-46326,-6761,-46121,-7343,-46049,-7576,-46019,-7667,-46005,-7704,-45999,-7718,-45743,-8262,-45634,-8466,-45587,-8548,-45289,-9153,-45188,-9377,-45152,-9463,-45136,-9500,-45131,-9514,-45129,-9520,-44865,-10097,-44474,-10948,-44016,-11827,-43388,-12344,-43164,-12550,-43080,-12637,-43050,-12670,-42464,-12536,-41669,-12341,-41356,-12258,-41235,-12222,-40616,-12088,-40367,-12030,-40266,-12003,-40228,-11993,-40212,-11988,-40205,-11986,-40203,-11986,-40201,-11985,-40201,-11985,-40201,-11985,-39671,-11880,-38871,-11689,-38560,-11613,-37846,-11427,-37553,-11358,-37438,-11328,-37390,-11315,-37370,-11310,-37362,-11308,-37359,-11307,-37358,-11307,-37357,-11306,-36760,-11228,-36518,-11201,-36423,-11185,-36382,-11177,-36367,-11173,-36361,-11172,-36359,-11171,-36358,-11171,-36357,-11171,-36357,-11171,-36357,-11171,-36357,-11171,-35783,-11044,-35550,-10985,-35460,-10964,-35426,-10957,-35412,-10954,-35407,-10953,-35405,-10953,-35404,-10953,-35404,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-35403,-10952,-34825,-10800,-34601,-10752,-34508,-10739,-34475,-10733,-34462,-10729,-34457,-10728,-34455,-10728,-34454,-10727,-34454,-10727,-34454,-10727,-34454,-10727,-34454,-10727,-34454,-10727,-34454,-10727,-34454,-10727,-33889,-10621,-33053,-10416,-32142,-10122,-31777,-10007,-31075,-9873,-30774,-9807,-30127,-9635,-29848,-9561,-29732,-9525,-29121,-9415,-28886,-9394,-28785,-9387,-28741,-9382,-28723,-9380,-28715,-9380,-28712,-9380,-28711,-9380,-28711,-9380 ;
